交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),環河南路二段２００號六樓,6.0,41.0,1,40.35,614616,0.0,,25.034114,121.493031,龍山寺站出口1,672,有電梯_7樓以下
房地(土地+建物)+車位,康寧路一段２６７號四樓,4.0,19.0,1,53.89,797873,0.0,,25.079166,121.598565,大湖公園站出口2,621,有電梯_7樓以下
房地(土地+建物),樟新街５６巷２０號四樓,4.0,34.0,1,36.76,590271,0.0,,24.977556,121.554904,七張站出口1,1226,有電梯_7樓以下
房地(土地+建物),民權東路六段２０３巷１５號五樓,5.0,25.0,1,27.14,792093,0.0,,25.067506,121.599089,葫洲站出口2,990,有電梯_7樓以下
房地(土地+建物),三民路８０巷１０號七樓之１,7.0,32.0,1,33.7,919924,0.0,,25.05619,121.565021,南京三民站出口4,513,有電梯_7樓以下
房地(土地+建物)+車位,南京東路六段１６５號三樓,3.0,16.0,1,49.29,816182,9.84,254065.0,25.056718,121.579756,松山站出口5,713,有電梯_7樓以下
房地(土地+建物),吳興街３６號六樓之２,6.0,31.0,1,36.39,882020,0.0,,25.031264,121.559848,台北101/世貿站出口2,274,有電梯_7樓以下
房地(土地+建物),忠誠路一段１１２號六樓,6.0,38.0,1,43.71,878097,0.0,,25.105709,121.528649,芝山站出口2,669,有電梯_7樓以下
房地(土地+建物)+車位,民權東路三段６０巷５號六樓,6.0,41.0,1,56.44,809732,13.22,302572.0,25.061309,121.542467,中山國中站出口,162,有電梯_7樓以下
房地(土地+建物)+車位,向陽路２５８巷６９號三樓,3.0,17.0,1,60.69,875515,8.72,286697.0,25.058492,121.595262,昆陽站出口4,893,有電梯_7樓以下
房地(土地+建物)+車位,敦化南路二段６３巷６４號六樓,6.0,38.0,1,38.47,1055482,0.0,,25.030877,121.55201,信義安和站出口2A,227,有電梯_7樓以下
房地(土地+建物)+車位,文湖街２１巷９１弄７號五樓,5.0,7.0,1,31.78,792861,0.0,,25.091106,121.55894,劍南路站出口1,722,有電梯_7樓以下
房地(土地+建物)+車位,政大一街２２７號三樓,3.0,21.0,1,46.62,667759,9.96,180723.0,24.986204,121.584672,動物園站出口2,1415,有電梯_7樓以下
房地(土地+建物)+車位,中山北路七段１４巷７號六樓,6.0,41.0,1,71.32,718101,7.96,314070.0,25.118856,121.531513,明德站出口2,1620,有電梯_7樓以下
房地(土地+建物)+車位,同安街６６號五樓,5.0,28.0,1,29.31,685721,0.0,,25.02313,121.520881,古亭站出口2,363,有電梯_7樓以下
房地(土地+建物)+車位,新明路４９８巷１４弄１２號六樓,6.0,13.0,1,64.74,697318,7.55,238411.0,25.053739,121.577235,松山站出口5,358,有電梯_7樓以下
房地(土地+建物)+車位,吳興街５２４巷２１之２號,1.0,1.0,1,26.25,1075284,12.11,264244.0,25.021989,121.568187,麟光站出口,1038,有電梯_7樓以下
房地(土地+建物),景福街５４巷５弄１７號,1.0,26.0,1,37.49,746890,0.0,,24.99977,121.536927,萬隆站出口1,266,有電梯_7樓以下
房地(土地+建物)+車位,民權東路六段１９０巷４０號,1.0,14.0,1,81.28,962203,13.93,179469.0,25.067485,121.594082,葫洲站出口2,1435,有電梯_7樓以下
房地(土地+建物)+車位,建國北路一段１３８巷５號五樓,5.0,18.0,1,46.91,838035,4.2,523810.0,25.051049,121.535934,松江南京站出口5,208,有電梯_7樓以下
房地(土地+建物),吳興街２８４巷２８弄２９號二樓,2.0,35.0,1,38.46,592874,0.0,,25.022754,121.562025,麟光站出口,580,有電梯_7樓以下
房地(土地+建物),政大二街２１５巷１４號七樓,7.0,21.0,1,42.38,460154,0.0,,24.988896,121.587579,動物園站出口1,1298,有電梯_7樓以下
房地(土地+建物),北安路６３０巷２５弄５號,1.0,32.0,1,29.7,1281705,0.0,,25.082953,121.550443,大直站出口1,457,有電梯_7樓以下
房地(土地+建物),青年路３０巷２之２號,1.0,38.0,1,40.24,546781,0.0,,25.026168,121.504501,龍山寺站出口3,1069,有電梯_7樓以下
房地(土地+建物),中山北路二段４２巷１８號六樓,6.0,5.0,1,12.93,1377219,0.0,,25.054595,121.521763,中山站出口3,229,有電梯_7樓以下
房地(土地+建物),內湖路一段９１巷８３號二樓,2.0,0.0,1,25.43,814156,0.0,,25.089157,121.562594,劍南路站出口1,836,有電梯_7樓以下
房地(土地+建物)+車位,內湖路一段９１巷５７號五樓,5.0,21.0,1,24.31,786143,5.77,311958.0,25.08881,121.562288,劍南路站出口1,790,有電梯_7樓以下
房地(土地+建物)+車位,建國北路一段１５０號五樓,5.0,14.0,1,20.09,1087200,5.83,257290.0,25.051441,121.536352,松江南京站出口5,234,有電梯_7樓以下
房地(土地+建物)+車位,內湖路一段９１巷８３號四樓,4.0,0.0,1,27.44,943276,2.0,1000000.0,25.089157,121.562594,劍南路站出口1,836,有電梯_7樓以下
