交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,莒光路３３７號十五樓,15.0,4.0,1,78.48,774250,16.74,310633.0,25.030943,121.497288,龍山寺站出口2,528,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街２９３號十三樓之７,13.0,23.0,1,31.5,782206,5.67,317460.0,25.017119,121.558711,麟光站出口,160,有電梯_7樓以上
房地(土地+建物)+車位,三合街一段３６巷７號九樓,9.0,6.0,1,78.01,777921,11.56,242215.0,25.127678,121.506041,奇岩站出口1,538,有電梯_7樓以上
房地(土地+建物)+車位,市民大道三段１８６號十樓,10.0,6.0,1,89.81,1281832,7.5,0.0,25.044442,121.537873,忠孝新生站出口3,516,有電梯_7樓以上
房地(土地+建物)+車位,指南路三段５２號八樓之１,8.0,14.0,1,67.2,501256,23.95,0.0,24.981875,121.580716,動物園站出口2,1795,有電梯_7樓以上
房地(土地+建物),行義路１０巷２號八樓之７,8.0,28.0,1,10.65,469306,0.0,,25.124284,121.526451,石牌站出口1,1531,有電梯_7樓以上
房地(土地+建物)+車位,八德路四段２４５巷１８號八樓,8.0,20.0,1,75.79,1004547,21.53,0.0,25.049656,121.564595,南京三民站出口3,186,有電梯_7樓以上
房地(土地+建物)+車位,久康街２４巷９號八樓,8.0,14.0,1,59.09,647954,10.17,344149.0,24.989404,121.566203,萬芳社區站出口,1044,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２０９巷３８號二十六樓,26.0,2.0,1,44.45,683496,0.0,,25.001988,121.556326,萬芳醫院站出口,323,有電梯_7樓以上
房地(土地+建物),行義路１０巷２號八樓之７,8.0,28.0,1,10.65,469306,0.0,,25.124284,121.526451,石牌站出口1,1531,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街２９２號十樓,10.0,7.0,1,25.86,677397,0.0,,25.016848,121.559203,麟光站出口,199,有電梯_7樓以上
房地(土地+建物),民權東路六段２９６巷２６號十六樓之２,16.0,25.0,1,27.09,729083,0.0,,25.072184,121.606666,葫洲站出口2,66,有電梯_7樓以上
房地(土地+建物)+車位,和平東路四段６６巷４１號十四樓,14.0,25.0,1,128.63,380923,0.0,,25.005416,121.565142,辛亥站出口,819,有電梯_7樓以上
房地(土地+建物)+車位,三合街一段３６巷２９號九樓,9.0,6.0,1,88.09,759708,12.54,0.0,25.128083,121.505579,奇岩站出口1,511,有電梯_7樓以上
房地(土地+建物)+車位,南港路二段１７８巷３２號十樓,10.0,28.0,1,49.77,686472,17.14,116686.0,25.054255,121.600551,南港站出口1,640,有電梯_7樓以上
房地(土地+建物)+車位,北安路７８９號九樓之１,9.0,8.0,1,29.78,934253,3.87,465116.0,25.085623,121.55387,劍南路站出口1,150,有電梯_7樓以上
房地(土地+建物)+車位,興隆路三段３０４巷１７５號十樓,10.0,5.0,1,67.45,577886,8.82,226757.0,24.995167,121.554675,萬芳醫院站出口,561,有電梯_7樓以上
房地(土地+建物),敬業三路１６２巷７６號十樓,10.0,21.0,1,47.03,627305,0.0,,25.07798,121.558388,劍南路站出口3,743,有電梯_7樓以上
房地(土地+建物)+車位,信義路四段１５１號十三樓,13.0,36.0,1,58.06,1004100,10.26,341131.0,25.033445,121.549779,信義安和站出口2,261,有電梯_7樓以上
房地(土地+建物),國興路４０號十二樓,12.0,43.0,1,19.08,613057,0.0,,25.02485,121.507912,小南門站出口3,1204,有電梯_7樓以上
房地(土地+建物)+車位,興隆路四段１０５巷３號八樓,8.0,26.0,1,33.6,437439,0.0,,24.987894,121.561155,萬芳醫院站出口,1323,有電梯_7樓以上
房地(土地+建物)+車位,萬壽路７５巷５１號九樓,9.0,23.0,1,43.95,331739,0.0,,24.985579,121.589263,動物園站出口1,1698,有電梯_7樓以上
房地(土地+建物),中和街３６６號八樓之５,8.0,23.0,1,24.73,517604,0.0,,25.141741,121.499514,新北投站出口2,621,有電梯_7樓以上
房地(土地+建物)+車位,迪化街二段１５８號十三樓之８,13.0,1.0,1,57.94,777516,9.71,0.0,25.066822,121.510066,大橋頭站出口1A,423,有電梯_7樓以上
房地(土地+建物)+車位,天母西路１１７巷３２弄５號十樓,10.0,6.0,1,173.07,1018437,32.66,0.0,25.120536,121.524706,石牌站出口1,1136,有電梯_7樓以上
房地(土地+建物),重慶北路三段２０３之３號九樓之５,9.0,1.0,1,15.29,819909,0.0,,25.069939,121.513933,圓山站出口1,622,有電梯_7樓以上
房地(土地+建物)+車位,北安路６６８號十樓,10.0,2.0,1,46.94,1309827,7.07,268741.0,25.08393,121.54944,大直站出口1,471,有電梯_7樓以上
房地(土地+建物)+車位,北安路６６６號十樓,10.0,2.0,1,45.31,1309975,7.07,268741.0,25.083838,121.549417,大直站出口1,461,有電梯_7樓以上
房地(土地+建物)+車位,木新路三段８８之２號九樓,9.0,10.0,1,37.7,464185,0.0,,24.982314,121.56295,萬芳社區站出口,1891,有電梯_7樓以上
房地(土地+建物)+車位,北安路６３０巷１５號八樓,8.0,27.0,1,64.91,782618,0.0,,25.083051,121.549831,大直站出口1,418,有電梯_7樓以上
房地(土地+建物)+車位,福興路９５巷６７號八樓,8.0,21.0,1,36.5,558931,10.56,94697.0,25.005397,121.546746,萬隆站出口3,839,有電梯_7樓以上
房地(土地+建物)+車位,復興北路４２７巷２５號八樓之１,8.0,13.0,1,13.8,954428,3.43,0.0,25.063413,121.546383,中山國中站出口,376,有電梯_7樓以上
房地(土地+建物)+車位,忠誠路二段２４號十一樓,11.0,39.0,1,91.19,504433,0.0,,25.109204,121.530137,芝山站出口2,986,有電梯_7樓以上
房地(土地+建物)+車位,研究院路一段１０１巷１６弄２號八樓之１,8.0,9.0,1,30.98,875304,2.99,0.0,25.051673,121.616607,南港展覽館站出口7,305,有電梯_7樓以上
房地(土地+建物)+車位,中山北路二段１２８巷９號八樓,8.0,10.0,1,40.65,847539,14.93,234427.0,25.061837,121.521529,民權西路站出口8,136,有電梯_7樓以上
房地(土地+建物),幽雅路７號九樓之１２,9.0,13.0,1,17.51,439630,0.0,,25.137316,121.513129,新北投站出口1,968,有電梯_7樓以上
房地(土地+建物)+車位,建國北路三段７１號八樓之８,8.0,6.0,1,34.97,819955,8.01,449438.0,25.065123,121.537204,行天宮站出口4,678,有電梯_7樓以上
房地(土地+建物)+車位,成功路四段１６７巷１號八樓之３,8.0,16.0,1,95.37,571446,0.0,,25.08336,121.594494,內湖站出口2,33,有電梯_7樓以上
房地(土地+建物)+車位,雨農路７２號九樓,9.0,17.0,1,65.57,635383,0.0,,25.099808,121.533276,士林站出口1,972,有電梯_7樓以上
房地(土地+建物)+車位,星雲街１２５號十四樓之２,14.0,17.0,1,72.5,937192,8.48,0.0,25.080473,121.595612,內湖站出口2,366,有電梯_7樓以上
房地(土地+建物)+車位,詔安街８８號十一樓之１,11.0,5.0,1,38.61,917542,8.31,240674.0,25.025418,121.512082,中正紀念堂站出口2,996,有電梯_7樓以上
房地(土地+建物)+車位,康樂街１８６巷３４之１號十樓之１,10.0,15.0,1,43.3,554275,0.0,,25.076728,121.620749,葫洲站出口1,1361,有電梯_7樓以上
房地(土地+建物),新生北路一段４１號八樓,8.0,37.0,1,30.34,711844,0.0,,25.047661,121.53051,松江南京站出口3,449,有電梯_7樓以上
房地(土地+建物),三民路３５巷１號十二樓之２,12.0,17.0,1,74.91,680808,0.0,,25.055315,121.563432,南京三民站出口1,410,有電梯_7樓以上
房地(土地+建物)+車位,濟南路二段１５號十樓之３,10.0,15.0,1,24.38,1062272,5.55,0.0,25.041298,121.527651,善導寺站出口5,435,有電梯_7樓以上
房地(土地+建物)+車位,西藏路１２３號十一樓之１,11.0,10.0,1,57.43,600736,0.0,,25.029501,121.502506,龍山寺站出口3,664,有電梯_7樓以上
