交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物)+車位,中山北路七段２１９巷１８之１號五樓,5.0,40.0,有,70.31,429545,0.0,,25.128446,121.532767
房地(土地+建物),中華路二段５２０號八樓,8.0,44.0,有,18.1,707121,0.0,,25.025538,121.508239
房地(土地+建物),溫泉路３５之３號四樓,4.0,45.0,無,34.04,411241,0.0,,25.134001,121.503504
房地(土地+建物),杭州南路一段１４３巷１２弄２號二樓,2.0,47.0,無,26.01,845864,0.0,,25.035798,121.525194
房地(土地+建物),和平東路一段８５巷１２號三樓之１,3.0,17.0,有,14.31,1149688,0.0,,25.028013,121.525499
房地(土地+建物)+車位,麗山街６５號五樓,5.0,32.0,有,57.95,898648,15.46,161708.0,25.081553,121.580525
房地(土地+建物),新生北路二段７３號三樓之８,3.0,44.0,有,8.02,611029,0.0,,25.056717,121.52786
房地(土地+建物),光復南路６２８巷１２號二樓,2.0,43.0,無,25.93,763498,0.0,,25.031548,121.556765
房地(土地+建物),民族西路２２５巷３８號四樓,4.0,41.0,有,35.08,555906,0.0,,25.070061,121.512186
房地(土地+建物),辛亥路四段７７巷９２弄９號六樓之６,6.0,19.0,有,16.04,628368,0.0,,25.008779,121.561219
建物,樂業街１０８巷７號五樓,5.0,42.0,無,30.09,148903,0.0,,25.02083,121.55149
房地(土地+建物),興隆路四段１０５巷５號七樓,7.0,27.0,有,16.72,604207,0.0,,24.987949,121.561129
房地(土地+建物)+車位,稻香路１６１巷１６弄２之３號二樓,2.0,1.0,有,37.31,650406,10.71,186741.0,25.141892,121.488005
房地(土地+建物),廈門街１２３巷３６號三樓,3.0,48.0,無,17.48,629238,0.0,,25.022852,121.519959
房地(土地+建物),士東路９１巷２６弄６號二樓之１,2.0,14.0,有,11.75,817295,0.0,,25.112926,121.529878
房地(土地+建物),中華路二段５０４巷３１號三樓,3.0,44.0,有,13.94,663597,0.0,,25.025016,121.50852
房地(土地+建物),杭州南路一段１４巷９號,1.0,25.0,有,40.24,1125122,0.0,,25.039855,121.524984
房地(土地+建物),大同街２０２之３號四樓,4.0,43.0,無,28.53,382030,0.0,,25.137663,121.499237
房地(土地+建物),研究院路二段３５巷２３弄２號四樓,4.0,29.0,無,24.22,536855,0.0,,25.046297,121.616348
房地(土地+建物)+車位,康寧路一段２６１號十樓之１,10.0,17.0,有,62.91,667612,0.0,,25.078878,121.598253
房地(土地+建物)+車位,文湖街２１巷１１８弄１２號二樓之１,2.0,5.0,有,40.31,726011,7.53,239044.0,25.091489,121.559856
房地(土地+建物),合江街３１巷９號,1.0,47.0,無,45.1,909098,0.0,,25.055499,121.539864
房地(土地+建物),景興路５３巷１３號四樓,4.0,47.0,無,36.02,499700,0.0,,24.99667,121.545664
房地(土地+建物),金山南路二段１３２巷２０號四樓之５,4.0,25.0,有,9.06,1225184,0.0,,25.029774,121.525307
房地(土地+建物),杭州南路一段１０５巷２１之４號二樓,2.0,44.0,無,39.8,884425,0.0,,25.037162,121.526795
房地(土地+建物),新生北路二段２８巷５號八樓之２,8.0,34.0,有,42.49,706114,0.0,,25.053925,121.526364
