鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,年度
文山區,房地(土地+建物),木新路二段２１８巷３５號五樓,28.52,住,,,1120625,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,,95.78,3,2,2,有,無,12280000,128210.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPSQMLMKPHIGFAA77DA,85.92,0.0,9.86,無,1435.0,,112
萬華區,房地(土地+建物),武成街５９號,77.0,住,,,1120606,土地1建物1車位0,全,二層,透天厝,住家用,,107.02,6,2,3,有,無,23750000,221921.0,,0.0,0,陽台外推；頂樓加蓋；,RPOOMLOKPHIGFBA47DA,107.02,0.0,0.0,無,,,112
南港區,房地(土地+建物),東新街８９巷１弄１０號二樓,29.83,住,,,1120615,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,,37.02,3,2,1,有,無,7400000,199892.0,,0.0,0,含土地增值稅或其他稅費308697元；,RPPNMLOJQHIGFDA67DA,37.02,0.0,0.0,無,,,112
文山區,房地(土地+建物),羅斯福路五段２１１巷３６號四樓,54.5,住,,,1120610,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,116.44,5,3,2,有,無,16200000,139127.0,,0.0,0,頂樓加蓋；,RPQNMLPKQHIGFAA77EA,116.44,0.0,0.0,無,,,112
文山區,房地(土地+建物),羅斯福路六段３９巷２０號二樓,31.25,住,,,1120615,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,72.33,3,2,1,有,無,10500000,145168.0,,0.0,0,,RPQNMLLKQHIGFAA27DA,72.33,0.0,0.0,無,,,112
南港區,房地(土地+建物),東新街８９巷１弄１３號三樓,33.0,住,,,1120625,土地1建物1車位0,三層，陽台,三層,公寓(5樓含以下無電梯),住家用,,76.13,3,2,1,有,無,14500000,190464.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPQNMLLLPHIGFDA57DA,76.13,0.0,0.0,無,,,112
大安區,房地(土地+建物),雲和街７５巷２號三樓,22.0,住,,,1120513,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,,60.32,2,2,1,有,無,14700000,243700.0,,0.0,0,陽台外推；其他增建；,RPPNMLOLNHIGFFA77DA,47.14,0.0,13.18,無,,,112
文山區,房地(土地+建物),萬盛街６０巷７號二樓,38.0,住,,,1120513,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,,65.57,3,2,1,有,無,12600000,192161.0,,0.0,0,陽台外推；其他增建；,RPQNMLNKNHIGFAA17DA,65.57,0.0,0.0,無,,,112
信義區,房地(土地+建物),吳興街６００巷１００弄２５號三樓,30.5,住,,,1120507,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,,86.92,3,2,1,有,無,11700000,134607.0,,0.0,0,,RPWNMLLKNHIGFDA87DA,86.92,0.0,0.0,無,,,112
松山區,房地(土地+建物),八德路四段３６巷１８號,20.5,住,,,1120516,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,,65.38,2,1,1,有,無,18500000,282961.0,,0.0,0,其他增建；,RPQOMLNKOHIGFDA67DA,65.38,0.0,0.0,無,,,112
文山區,房地(土地+建物),和興路３號四樓,30.75,住,,,1120512,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,77.26,4,0,4,有,無,10800000,139788.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOOMLTLNHIGFAA77DA,77.26,0.0,0.0,無,1780.0,,112
文山區,房地(土地+建物),保儀路１８１號四樓,25.84,住,,,1120507,土地5建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,,100.92,3,2,1,有,無,13000000,128815.0,,0.0,0,,RPPNMLQLOHIGFAA67EA,92.55,0.0,8.37,無,1848.0,,112
大安區,房地(土地+建物),金山南路二段１８５巷１０號四樓,37.88,住,,,1120528,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,102.76,4,2,2,有,無,27000000,262748.0,,0.0,0,陽台外推；,RPVNMLQLOHIGFFA68DA,102.76,0.0,0.0,無,,,112
