交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),敦化南路一段１００巷３９號三樓,3.0,39.0,1,36.46,941925,0.0,,25.046117,121.54731,忠孝敦化站出口8,503
房地(土地+建物)+車位,延壽街３３０巷１６弄５號五樓之１,5.0,14.0,1,63.87,840774,0.0,,25.055134,121.559328,南京三民站出口1,551
房地(土地+建物),中山北路七段１４１巷１４弄６號四樓,4.0,43.0,0,33.75,474076,0.0,,25.12399,121.530932,石牌站出口1,1871
房地(土地+建物),大安路一段２０２號三樓之９,3.0,14.0,1,10.12,1629684,0.0,,25.034943,121.5459,大安站出口6,240
房地(土地+建物),內湖路一段２８５巷６１弄３號三樓,3.0,44.0,0,24.7,601163,0.0,,25.084022,121.567132,西湖站出口1,193
房地(土地+建物),成功路四段２２３巷１５弄１１號三樓之１,3.0,30.0,1,23.77,744623,0.0,,25.08373,121.596114,內湖站出口2,152
房地(土地+建物),富民路１５５巷３３號六樓之２,6.0,39.0,1,23.69,472678,0.0,,25.018462,121.500915,頂溪站出口2,1538
房地(土地+建物),通安街１０８巷４號三樓,3.0,23.0,1,45.8,799101,0.0,,25.029501,121.552787,信義安和站出口2A,373
房地(土地+建物),民生東路三段１１３巷２５弄３１號五樓,5.0,40.0,1,46.91,767450,0.0,,25.059327,121.547193,中山國中站出口,364
房地(土地+建物),義方街４３號四樓,4.0,38.0,0,32.04,337695,0.0,,25.141459,121.500953,新北投站出口2,536
房地(土地+建物),木新路三段５０巷２６號四樓,4.0,40.0,0,30.82,441291,0.0,,24.983699,121.563893,萬芳社區站出口,1716
房地(土地+建物),德行東路９０巷３３弄２號二樓,2.0,44.0,0,25.57,679776,0.0,,25.105966,121.528248,芝山站出口2,641
房地(土地+建物)+車位,政大二街２６０巷２３號二樓,2.0,12.0,1,29.6,536561,5.19,289017.0,24.98783,121.586619,動物園站出口1,1345
房地(土地+建物),樟新街８巷２０號八樓,8.0,29.0,1,38.95,600773,0.0,,24.979607,121.55415,大坪林站出口5,1161
房地(土地+建物),迪化街二段２９６巷５號三樓,3.0,48.0,0,26.57,560125,0.0,,25.071458,121.511863,圓山站出口1,826
房地(土地+建物),安康路４３４巷２０弄１２號三樓,3.0,27.0,1,11.89,705381,0.0,,25.066761,121.615404,東湖站出口3,348
房地(土地+建物),環山路一段１３６巷１４弄２號,1.0,46.0,0,20.35,864901,0.0,,25.087569,121.568452,西湖站出口1,609
房地(土地+建物),光復北路６０巷１９之５號,1.0,39.0,1,37.1,842420,0.0,,25.049699,121.557015,台北小巨蛋站出口4,462
房地(土地+建物),葫蘆街２９巷３２號五樓,5.0,40.0,0,22.44,423305,0.0,,25.079049,121.509887,圓山站出口2,1309
房地(土地+建物),一德街１０巷１３號三樓,3.0,42.0,0,24.38,381437,0.0,,25.129023,121.468901,關渡站出口1,434
建物,羅斯福路六段２６巷３號三樓,3.0,55.0,0,22.63,331463,0.0,,24.999967,121.539303,萬隆站出口1,161
房地(土地+建物),公路２９８號三樓,3.0,38.0,0,23.93,357236,0.0,,25.132303,121.502681,北投站出口2,379
房地(土地+建物),北安路８２９號四樓之８,4.0,12.0,1,13.45,936653,0.0,,25.084811,121.556951,劍南路站出口3,104
房地(土地+建物),溫州街７４巷４弄２號七樓之３,7.0,44.0,1,37.11,727613,0.0,,25.019861,121.532412,台電大樓站出口2,336
房地(土地+建物),文德路６６巷３２弄６號四樓,4.0,39.0,1,38.91,596286,0.0,,25.07672,121.581195,文德站出口2,388
房地(土地+建物),社中街３７３號四樓,4.0,46.0,0,32.96,318535,0.0,,25.092144,121.503621,芝山站出口1,2209
房地(土地+建物),光復北路２１０巷３５號,1.0,21.0,1,36.03,809796,0.0,,25.05534,121.553611,台北小巨蛋站出口5,419
房地(土地+建物),試院路１４４巷４弄１６號,1.0,28.0,1,18.88,405212,0.0,,24.990719,121.547769,景美站出口2,682
房地(土地+建物),信義路六段３１號二樓,2.0,32.0,1,45.76,685110,0.0,,25.03473,121.575911,象山站出口3,568
房地(土地+建物),興隆路二段１５３巷２弄８號,1.0,54.0,0,35.41,649579,0.0,,25.000883,121.548711,萬隆站出口2,925
房地(土地+建物),潮州街８４號七樓之２,7.0,14.0,1,13.2,1244595,0.0,,25.02909,121.524552,古亭站出口5,271
房地(土地+建物),吳興街６００巷１００弄２７號三樓,3.0,33.0,0,27.03,458829,0.0,,25.017887,121.572025,麟光站出口,1354
房地(土地+建物)+車位,行義路１７０巷２７弄３號三樓,3.0,9.0,1,65.06,756518,10.36,0.0,25.131523,121.52962,石牌站出口1,2341
房地(土地+建物)+車位,星雲街１６８巷７號十樓之１,10.0,27.0,1,37.98,500279,0.0,,25.080667,121.596738,內湖站出口2,393
房地(土地+建物),永吉路４４３巷１１弄９號五樓,5.0,39.0,0,32.12,398513,0.0,,25.046708,121.578829,松山站出口4,354
房地(土地+建物),承德路四段４０巷１３７號五樓之１０,4.0,52.0,0,10.77,538584,0.0,,25.081868,121.520182,劍潭站出口2,486
房地(土地+建物),延平北路五段２４４巷２２弄１９號三樓,3.0,53.0,0,19.75,438544,0.0,,25.08433,121.510993,劍潭站出口2,1391
房地(土地+建物),延平北路三段１００號五樓,5.0,42.0,1,27.49,520167,0.0,,25.06635,121.510895,大橋頭站出口1A,346
房地(土地+建物),康寧路三段１８９巷８３弄１號二樓,2.0,28.0,1,35.67,588718,0.0,,25.072834,121.612255,葫洲站出口1,423
房地(土地+建物)+車位,光復南路４１７巷３號四樓,4.0,29.0,1,74.79,802204,4.36,573394.0,25.036905,121.557936,國父紀念館站出口2,475
房地(土地+建物)+車位,榮華一路８號三樓,3.0,1.0,1,44.73,980469,10.56,217803.0,25.111893,121.52384,明德站出口1,553
房地(土地+建物)+車位,民生東路二段１４７巷５弄８號六樓,6.0,13.0,1,103.48,929986,29.52,338753.0,25.059047,121.535577,行天宮站出口2,227
房地(土地+建物),新生北路三段７號四樓,4.0,41.0,1,30.79,649595,0.0,,25.063389,121.527988,中山國小站出口4,131
房地(土地+建物),新生北路三段４３號三樓之１,3.0,45.0,1,15.62,499519,0.0,,25.065416,121.528038,中山國小站出口4,312
房地(土地+建物),港華街６９號二樓,2.0,37.0,0,31.85,598113,0.0,,25.08311,121.575081,港墘站出口1,339
房地(土地+建物),重慶北路四段４９巷３１弄３０號,1.0,46.0,0,28.03,545910,0.0,,25.081818,121.511459,劍潭站出口2,1348
房地(土地+建物),吳興街２８４巷３０弄４６號二樓,2.0,48.0,0,32.77,528487,0.0,,25.023162,121.562904,麟光站出口,671
房地(土地+建物),羅斯福路三段２８３巷１９弄１２號,1.0,55.0,0,40.83,1175740,0.0,,25.019562,121.531072,台電大樓站出口2,211
房地(土地+建物),星雲街１６８巷４３號十五樓之２,15.0,26.0,1,18.21,812854,0.0,,25.080177,121.59724,內湖站出口2,467
房地(土地+建物),康寧路三段２５３號五樓,5.0,29.0,1,27.65,640040,0.0,,25.066559,121.611349,東湖站出口2,70
房地(土地+建物)+車位,文湖街２１巷８２弄２３號七樓,7.0,1.0,1,28.3,867317,4.27,398126.0,25.089063,121.560797,劍南路站出口1,677
房地(土地+建物),敦化南路一段１７７巷３０號二樓之２,2.0,15.0,1,13.43,1176385,0.0,,25.042961,121.550582,忠孝敦化站出口1,147
房地(土地+建物),信義路三段１４７巷１５弄７之１號,1.0,43.0,1,37.64,1434643,0.0,,25.035172,121.542221,大安站出口1,176
房地(土地+建物)+車位,吳興街６００巷６０之５號,1.0,2.0,1,18.7,1365465,4.06,0.0,25.019761,121.57028,麟光站出口,1184
房地(土地+建物),大度路三段２７０巷６７號十四樓,14.0,11.0,1,22.36,639513,0.0,,25.125296,121.4673,關渡站出口1,17
房地(土地+建物)+車位,瑞安街２０８巷３９號四樓之５,4.0,8.0,1,22.99,1127984,3.42,584795.0,25.029726,121.540643,大安站出口3,426
房地(土地+建物)+車位,木柵路一段５８巷２８號三樓,3.0,28.0,1,63.56,416941,0.0,,24.986375,121.548168,大坪林站出口5,635
房地(土地+建物)+車位,吳興街４４９巷２弄６號三樓,3.0,20.0,1,38.2,793264,0.0,,25.024124,121.568859,象山站出口2,924
房地(土地+建物)+車位,和平西路二段１４８號十一樓之１,11.0,25.0,1,39.03,796385,9.92,252016.0,25.032784,121.505833,龍山寺站出口3,516
房地(土地+建物),興隆路一段２５１巷１弄５號,1.0,49.0,0,33.7,741741,0.0,,24.999876,121.544324,萬隆站出口2,513
房地(土地+建物),民權東路二段１３５巷２９弄８號二樓,2.0,36.0,1,35.14,553479,0.0,,25.06411,121.535662,行天宮站出口4,496
房地(土地+建物),永康街３７巷３２號二樓,2.0,39.0,0,32.16,971560,0.0,,25.030887,121.530927,東門站出口5,330
房地(土地+建物),浦城街６巷２４號五樓,5.0,15.0,1,13.75,1073563,0.0,,25.023963,121.525605,古亭站出口2,284
房地(土地+建物),新民路５７號五樓之１,5.0,9.0,1,23.74,547595,0.0,,25.140355,121.511212,新北投站出口1,861
房地(土地+建物),陽光街９２巷１８弄５號,1.0,40.0,0,21.24,700515,0.0,,25.075797,121.585476,文德站出口2,298
房地(土地+建物)+車位,光復南路２９０巷２８號十樓,10.0,11.0,1,79.21,1264537,11.85,0.0,25.03945,121.55639,國父紀念館站出口2,178
房地(土地+建物),虎林街２１２巷３１號三樓,3.0,53.0,0,26.23,686165,0.0,,25.037151,121.576335,永春站出口4,395
房地(土地+建物),玉成街２０１巷６號二樓,2.0,45.0,0,41.38,531633,0.0,,25.044458,121.585373,後山埤站出口3,228
房地(土地+建物)+車位,中央北路四段５４１巷９號十八樓,18.0,1.0,1,41.83,749823,12.59,214456.0,25.12756,121.468445,關渡站出口1,267
房地(土地+建物),芝玉路一段１９７巷２號四樓,4.0,37.0,0,24.49,502238,0.0,,25.107615,121.533276,芝山站出口2,1179
房地(土地+建物)+車位,長春路２５８巷２６號二樓之３,2.0,20.0,1,28.97,748837,15.21,144642.0,25.053567,121.538976,南京復興站出口1,334
房地(土地+建物),士東路２００巷８３號四樓,4.0,46.0,0,25.19,571675,0.0,,25.109983,121.534169,芝山站出口2,1373
房地(土地+建物),通河街３２３巷２７之１號,1.0,52.0,0,10.88,498120,0.0,,25.08131,121.518632,劍潭站出口2,654
房地(土地+建物),信義路二段１６１巷２弄１號三樓之３,3.0,14.0,1,9.34,1444745,0.0,,25.034415,121.528664,東門站出口8,49
房地(土地+建物)+車位,康寧路一段１９５巷３弄１６號二樓,2.0,29.0,0,43.32,484754,0.0,,25.079334,121.597618,內湖站出口2,566
房地(土地+建物),大直街２１巷４號三樓,3.0,41.0,0,31.76,727343,0.0,,25.081667,121.547108,大直站出口1,146
房地(土地+建物),景興路１７７巷２０號五樓,5.0,26.0,1,28.83,572236,0.0,,24.992612,121.545386,景美站出口2,393
房地(土地+建物)+車位,康樂街１３６巷３０弄６９號六樓,6.0,26.0,1,25.14,465436,0.0,,25.071034,121.617743,東湖站出口3,731
房地(土地+建物),忠孝東路五段４２３巷６弄１７號二樓,2.0,34.0,0,30.42,641039,0.0,,25.041828,121.576204,永春站出口5,105
房地(土地+建物),敦化北路１４５巷２３弄３號四樓之２,4.0,2.0,1,21.75,1309720,0.0,,25.053206,121.550469,台北小巨蛋站出口2,183
房地(土地+建物)+車位,承德路三段３０１巷２２號四樓之１,4.0,1.0,1,21.77,781451,4.05,296296.0,25.075657,121.521353,圓山站出口2,449
房地(土地+建物),文德路２２巷２７弄４號三樓,3.0,41.0,0,31.71,473022,0.0,,25.076595,121.58,文德站出口2,503
房地(土地+建物),大南路３１０號二樓,2.0,52.0,0,19.34,475579,0.0,,25.088895,121.518788,劍潭站出口1,774
房地(土地+建物),和興路２６巷７號七樓,7.0,14.0,1,24.96,611070,0.0,,24.985387,121.545821,大坪林站出口5,385
房地(土地+建物)+車位,民權東路六段１３３號十樓,10.0,16.0,1,93.42,715899,0.0,,25.06914,121.593798,文德站出口1,1341
房地(土地+建物),後港街３３號三樓,3.0,38.0,1,35.19,704750,0.0,,25.083555,121.523016,劍潭站出口2,178
房地(土地+建物),德行東路１９０巷３１弄１６號五樓,5.0,40.0,0,45.5,503308,0.0,,25.107609,121.532509,芝山站出口2,1107
房地(土地+建物)+車位,明水路５６３號四樓,4.0,28.0,1,81.72,929079,29.33,170474.0,25.079397,121.551775,大直站出口3,480
房地(土地+建物)+車位,堤頂大道二段２４６巷１號十一樓,11.0,16.0,1,81.09,962384,10.43,0.0,25.077655,121.566335,西湖站出口2,492
房地(土地+建物),興隆路二段２５１號九樓,9.0,4.0,1,15.12,760484,0.0,,25.001976,121.551646,辛亥站出口,645
房地(土地+建物)+車位,木柵路四段１５９巷１６弄７１號三樓,3.0,30.0,1,65.0,370763,0.0,,25.003994,121.576048,木柵站出口,699
房地(土地+建物),興德路１５號三樓,3.0,53.0,0,29.15,535416,0.0,,25.000994,121.555557,萬芳醫院站出口,283
房地(土地+建物),永吉路１２０巷２０號七樓之２,7.0,16.0,1,13.33,975602,0.0,,25.044779,121.570191,市政府站出口4,495
房地(土地+建物),龍泉街６９號六樓,6.0,11.0,1,31.34,1053104,0.0,,25.022811,121.529356,台電大樓站出口3,237
房地(土地+建物),行善路５號四樓,4.0,25.0,1,37.23,598098,0.0,,25.055899,121.57492,松山站出口2,651
房地(土地+建物)+車位,中山北路七段２１９巷６之２號六樓,6.0,37.0,1,52.0,605738,0.0,,25.127036,121.532459,石牌站出口1,2191
